FALSE,BRAND,STYLE,LENGTH ,Character,COLOR,OWNER
FALSE,Arda,Wavy ; Pigtail,Short,Moon - Zelda,Beige,Silas
FALSE,Arda,Amber,Long,Kagome - Inuyasha,Black,Lauren
FALSE,Arda Silky,Nina,Long,,Black,Lauren
FALSE,Epic,Aura,Short,Inosuke - Demon Slayer,Black,Silas
FALSE,Hengfeng,Straight,Medium,Rin - Inuyasha,Black,Lauren
FALSE,Lucaille,Straight ; Pigtails,Long,Tamaki - Fire Force,Black,
FALSE,Mapofbeauty,Straight,Long,Tifa - FF7,Black,Lauren
FALSE,Mapofbeauty,Straight,Short,Yuffie - FF7,Black,Lauren
FALSE,No Brand,Straight,Long,Homura - Pmmm,Black,Silas
FALSE,No Brand,Spiked,Short,Kuro - Haikyuu,Black,Silas
FALSE,No Brand,Straight,Short,Yura - Inuyasha,Black,Lauren
FALSE,No Brand,Wavy,Short,,Black,
FALSE,Uwowo,Straight ; Ponytail,Long,Wwx - Mdzs,Black,Silas
FALSE,Uwowo,Straight ; Ponytail,Long,Wwx - Mdzs,Black,Silas
FALSE,Arda,Marty,Short,Akira - Devilman Crybaby,Black ; Ash,Lauren
FALSE,Arda,Magnum,Short,Noctis - FF15,Black ; Ash,Silas
FALSE,Tefure,Wavy,Short,Fashion,Black ; Ashy Gradient,Lauren
FALSE,Tefure,Wavy,Short,Fashion,Black ; Gray Gradient,Silas
FALSE,No Brand,Wavy,Short,Fashion,Black ; Teal Tips,Silas
FALSE,No Brand,Lacefront,Short,,Black ; Teal Tips,Silas
FALSE,Magic acgn,Straight,Long,,Blonde,
FALSE,No Brand,Straight,Short,Ash Lynx - Banana Fish,Blonde,Silas
FALSE,No Brand,Wavy,Long,Tuesday - Carole And Tuesday,Blonde,Silas
FALSE,No Brand,Straight,Short,Uranus - Sailor Moon,Blonde,Silas
FALSE,No Brand,Buns,Long,Violet - Violet Evergarden,Blonde,
FALSE,No Brand,Straight,Long,Zelda - Breath of the Wild,Blonde,Lauren
FALSE,No Brand,Straight,Short,Kenma - Haikyuu,Blonde ; Black Roots Gradient,Silas
FALSE,No Brand,Wavy ; Lacefront,Medium,Ruler Kenma - Haikyuu,Blonde ; Black Roots Gradient,Silas
FALSE,Arda,Jaguar,Short,Prompto - FF15,Blonde ; Champange,Lauren
FALSE,Arda,"Chibi (23"") ",Pigtails,Toga - Boku No Hero,Blonde ; Champange,Lauren
